accession,entry_type,title,summary,organism,gds_type,n_samples,platform,pubmed_ids,release,flag_organoid,flag_5fu,flag_platinum,flag_irinotecan,flag_paired,flag_persister,flag_patient,relevance,geo_url,pubmed_url
GSE231560,GSE,"Alternative splicing at a broad spectrum of target genes underlie epithelial to mesenchymal plasticity, metastatic dissemination, and resistance to chemotherapy in high-grade serous ovarian cancer.","Phenotypic plasticity, defined as the ability of individual cells with stable genotypes to exert different phenotypes upon exposure to specific environmental cues, represent the quintessential hallmark of the cancer cell en route from the primary lesion to distant organ sites where metastatic colonization will occur. Phenotypic plasticity is driven by a broad spectrum of epigenetic mechanisms that allow for the reversibility of epithelial-to-mesenchymal and mesenchymal-to-epithelial transitions (EMT/MET). By taking advantage of the co-existence of epithelial and quasi-mesenchymal cells within immortalized cancer cell lines, we have analyzed the role of EMT-related gene isoforms in the regulation of epithelial mesenchymal plasticity (EMP) in high grade serous ovarian cancer. When compared with colon cancer, a distinct spectrum of downstream targets characterizes quasi-mesenchymal ovarian cancer cells, likely to reflect the different modalities of metastasis formation between these two types of malignancy, i.e. hematogenous in colon and transcoelomic in ovarian cancer. Moreover, upstream RNA-binding proteins differentially expressed between epithelial and quasi-mesenchymal subpopulations of ovarian cancer cells were identified that underlie differential regulation of EMT-related isoforms. In particular, the up- and down-regulation of RBM24 and ESRP1, respectively, represent a main regulator of EMT in ovarian cancer cells. To validate the functional and clinical relevance of our approach, we selected and functionally analyzed the Tropomyosin 1 gene (TPM1), encoding for a protein that specifies the functional characteristics of individual actin filaments in contractile cells, among the ovarian-specific downstream AS targets. The low-molecular weight Tpm1.8/9 isoforms are specifically expressed in patient-derived ascites and promote invasion through activation of EMT and Wnt signaling, together with a broad spectrum of inflammation-related pathways. Moreover, Tpm1.8/9 expression confers resistance to taxane- and platinum-based chemotherapy. Small molecule inhibitors that target the Tpm1 isoforms support targeting Tpm1.8/9 as therapeutic targets for the development of future tailor-made clinical interventions.",Homo sapiens,Expression profiling by high throughput sequencing,15,28038,38365970,2024/02/17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE231560,https://pubmed.ncbi.nlm.nih.gov/38365970/
GSE100549,GSE,Consensus Molecular Subtypes of colorectal cancer are recapitulated in in vitro and in vivo models [primary cell lines AMC/Palermo],"Colorectal cancer (CRC) is a highly heterogeneous disease both from a molecular and clinical perspective. Several distinct molecular entities, such as microsatellite instability (MSI), have been defined that make up biologically distinct subgroups with their own clinical course. Recent data indicated that CRC can be best segregated into four groups called Consensus Molecular Subtypes (CMS1-4), which each have a unique biology and gene expression pattern. In order to develop improved, subtype-specific therapies and to gain insight into the molecular wiring and origin of these subtypes, reliable models are needed. This study was designed to determine the heterogeneity and identify the presence of CMSs in a large panel of CRC cell lines, primary cultures and patient-derived xenografts (PDX). We provide a repository encompassing this heterogeneity and moreover describe that a large part of the models can be robustly assigned to one of the four CMSs, independent of the stromal contribution. We subsequently validate our CMS stratification by functional analysis which for instance shows mesenchymal enrichment in CMS4 and metabolic dysregulation in CMS3. Finally, we observe a clear difference in sensitivity to chemotherapy-induced apoptosis, specifically between CMS2 and CMS4. This relates to the in vivo efficacy of chemotherapy, which delays outgrowth of CMS2, but not CMS4 xenografts. This indicates that molecular subtypes are faithfully modelled in the CRC cell cultures and PDXs, representing tumour cell intrinsic and stable features. This repository provides researchers with a platform to study CRC using the existing heterogeneity.",Homo sapiens,Expression profiling by array,15,13158,29305587,2017/12/01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE100549,https://pubmed.ncbi.nlm.nih.gov/29305587/
GSE54665,GSE,miR-634 restores drug sensitivity in resistant ovarian cancer cells by targeting the Ras-MAPK pathway,"The development of drug resistance is still a major impediment for the successful treatment of cancer, such as advanced stage ovarian cancer, which has a 5-year survival rate of only 30%. The molecular processes that contribute to resistance have been extensively studied, however, not much is known about the role of microRNAs. We compared microRNA expression profiles of three isogenic cisplatin sensitive and resistant cell line pairs. The only microRNA that was consistently downregulated (FDR = 0.000) in all resistant cell lines was miR-634. We investigated the effects of miR-634 modulation in ovarian cancer cell lines and patient derived tumor cells. Overexpression of miR-634 gave rise to a modest G1 phase block and enhanced apoptosis. Furthermore, miR-634 resensitized resistant ovarian cancer cell lines and patient derived tumor cells to cisplatin chemotherapy. Similarly, miR-634 enhanced the response of tumor cells to carboplatin and doxorubicin, but not to paclitaxel. We showed that miR-634 regulates cyclin D1 (CCND1), which is required for the G1-S phase transition, explaining the effects on the cell cycle. In addition, miR-634 repressed expression of GRB2, ERK2, RSK1 and RSK2, components of the Ras-MAPK pathway. Altogether, our findings suggest that miR-634 modulates several cancer relevant targets and therefore miR-634 is an attractive therapeutic candidate to resensitize chemotherapy resistant ovarian tumors.",Homo sapiens,Non-coding RNA profiling by array,14,16851,26576679,2014/02/04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54665,https://pubmed.ncbi.nlm.nih.gov/26576679/
GSE212897,GSE,Expression of miRNAs in patient-derived cancer models and models of drug resistance,We examined whether tumor samples can be stratified according to miRNA expression profiles.,Homo sapiens,Expression profiling by high throughput sequencing,12,18573,37734378,2023/11/01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE212897,https://pubmed.ncbi.nlm.nih.gov/37734378/
GSE302491,GSE,AURKA-Mediated 7-Dehydrocholesterol Biosynthesis Drives Ferroptosis Evasion and Chemoresistance,"Chemoresistance remains a major obstacle to effective colorectal cancer (CRC) treatment. While ferroptosis induction offers promise for chemosensitization, its clinical utility is limited by intrinsic resistance mechanisms. Here, we identify Aurora kinase A (AURKA) as a central ferroptosis suppressor that sustains chemoresistance by rewiring cholesterol metabolism through the SAPS3–AMPK–SREBP2 axis. Mechanistically, AURKA phosphorylates SAPS3 at Ser523/524, promoting its degradation and relieving AMPK suppression. Activated AMPK subsequently inhibits SREBP2 nuclear translocation and DHCR7 transcription, resulting in the accumulation of 7-dehydrocholesterol (7-DHC), a lipid antioxidant that confers ferroptosis resistance. Both genetic and pharmacologic inhibition of AURKA restore ferroptosis sensitivity and enhance chemotherapy efficacy in vitro and in patient-derived xenograft models. Clinically, elevated AURKA expression correlates with poor prognosis and reduced chemotherapy response in CRC patients. These findings define a novel AURKA-driven chemoresistance mechanism, revealing a regulatory nexus between cholesterol homeostasis and ferroptosis evasion, and position AURKA as a promising therapeutic target for chemosensitization in CRC.",Homo sapiens,Expression profiling by high throughput sequencing,6,30209,NA,2026/03/11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE302491,NA
GSE93254,GSE,Hypoxic microenvironment activates GLI2 through synergistic action of TGF-β2 and HIF-1α to confer chemoresistance and poor clinical outcome in colorectal cancer [IlluminaExpr_2_CAF_SF_SD208],"Microenvironment has been suggested as an important factor contributing to how the colorectal cancer cells escape therapy, but the exact mechanism leading to chemoresistance remains elusive. Here, through modeling in vitro by cocultivation of patient-derived cancer associated fibroblasts (CAFs) with cancer stem cells (CSCs), we show that CAFs-secreted TGF-β2 is a key stromal factor that coordinates with hypoxia to promote CSC stemness and resistance to chemotherapy. GLI2, a key transcription factor of Hedgehog pathway, was identified as both necessary and sufficient in this process in which TGF-β and hypoxia-inducible factor (HIF-1α) synergize to directly induce GLI2 expression.  Conversely, CSC-secreted TGF-β is also important to support the growth of CAFs but instead induce death of normal fibroblasts, suggesting a reciprocal mechanism to selectively support the CAF-CSC interaction. Small molecule inhibition of both TGF-β and GLI2 effectively reversed the chemoresistance. Finally, expression of TGFB2/HIF1A/GLI2 gene signature as a functional readout of this resistance pathway defines worse clinical outcomes and predicts patients relapse. Our observations uncover a key role of TGF-β/HIF-1α/GLI2 in microenvironment-mediated chemoresistance and reveal novel biomarker and targeting strategies to identify and treat the high risk CRC patients.",Homo sapiens,Expression profiling by array,4,10558,29891662,2019/01/30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE93254,https://pubmed.ncbi.nlm.nih.gov/29891662/
GSE14,GSE,Cancer Genome Anatomy Project (CGAP) SAGE Libraries,"This series represents the Cancer Genome Anatomy Project SAGE library collection.  Libraries contained herein were either produced through CGAP funding, or donated to CGAP. The Cancer Genome Anatomy Project (CGAP: http://cgap.nci.nih.gov) is an interdisciplinary program established and administered by the National Cancer Institute (NCI: http://www.nci.nih.gov) to generate the information and technological tools needed to decipher the molecular anatomy of the cancer cell.  SAGE libraries are named according to the following convention: * SAGE_Organ_histology_code_unique identifier, e.g., SAGE_Colon_adenocarcinoma_CL_Caco2 * Codes: B = bulk; CL = cell line; CS = short-term cell culture; MD = micro-dissected; AP = antibody purified.  These libraries were downloaded from the CGAP Web site on March 17, 2009  This SuperSeries is composed of the SubSeries listed below.",Homo sapiens; Mus musculus,Expression profiling by SAGE,765,1349;4;11;1485,11257097; 12119410,2001/11/29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE14,https://pubmed.ncbi.nlm.nih.gov/11257097/
GSE15309,GSE,Cancer Genome Anatomy Project (CGAP) Human SAGE,"This series represents the Cancer Genome Anatomy Project SAGE library collection.  Libraries contained herein were either produced through CGAP funding, or donated to CGAP. The Cancer Genome Anatomy Project (CGAP: http://cgap.nci.nih.gov) is an interdisciplinary program established and administered by the National Cancer Institute (NCI: http://www.nci.nih.gov) to generate the information and technological tools needed to decipher the molecular anatomy of the cancer cell.  SAGE libraries are named according to the following convention: * SAGE_Organ_histology_code_unique identifier, e.g., SAGE_Colon_adenocarcinoma_CL_Caco2 * Codes: B = bulk; CL = cell line; CS = short-term cell culture; MD = micro-dissected; AP = antibody purified.",Homo sapiens,Expression profiling by SAGE,327,4,11257097; 12119410,2009/03/20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE15309,https://pubmed.ncbi.nlm.nih.gov/11257097/
GSE290028,GSE,LSD1 inhibition attenuates targeted therapy-induced lineage plasticity in BRAFV600E colorectal cancer,"Background: BRAF activating mutations occur in approximately 10% of metastatic colorectal cancer (CRCs) and are associated with worse prognosis in part due to an inferior response to standard chemotherapy. Standard of care for patients with refractory metastatic BRAFV600E CRC is treatment with BRAF and EGFR inhibitors and recent FDA approval was given to use these inhibitors in combination with chemotherapy for patients with treatment naïve metastatic BRAFV600E CRC. Lineage plasticity to neuroendocrine cancer is an emerging mechanism of targeted therapy resistance in several cancer types. Enteroendocrine cells (EECs), the neuroendocrine cell of the intestine, are uniquely present in BRAFV600E CRC as compared to BRAF wildtype CRC. Methods: BRAF plus EGFR inhibitor treatment induced changes in cell composition were determined by gene expression, imaging and single cell approaches in multiple models of BRAF mutant CRC. Furthermore, multiple clinically relevant inhibitors of the lysine demethylase LSD1 were tested to determine which inhibitor blocked the changes in cell composition. Results: Combined BRAF and EGFR inhibition enriched for EECs in all BRAF mutant CRC models tested. Additionally, EECs and other secretory cell types were enriched in a subset of BRAFV600E CRC patient samples following targeted therapy. Importantly, inhibition of LSD1 with a clinically relevant inhibitor attenuated targeted therapy-induced EEC enrichment through blocking the interaction of LSD1, CoREST2 and STAT3. Conclusions: Our findings that BRAF plus EGFR inhibition induces lineage plasticity in BRAFV600E CRC represents a new paradigm for how resistance to BRAF plus EGFR inhibition occurs. Additionally, our finding that LSD1 inhibition blocks lineage plasticity has the potential to improve responses to BRAF plus EGFR inhibitor therapy in patients.",Homo sapiens; Mus musculus,Expression profiling by high throughput sequencing,23,34281;34328,40264166,2025/04/30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE290028,https://pubmed.ncbi.nlm.nih.gov/40264166/
GSE291524,GSE,"ColoStem, a core transcriptional signature that identifies poor prognosis fetal-type colorectal tumors","We have previously shown that non-curative chemotherapy imposes fetal conversion and high metastatic capacity to cancer cells. Analysis of public colorectal cancer datasets confirms the existence of a fetal signature consisting of 28 upregulated and 8 downregulated genes that stratify patients with worse prognosis. We have analyzed a metacohort generated by the integration of several colorectal cancer datasets and performed qPCR analysis of paraffin-embedded and plasma samples from our in-house cohort of colorectal cancer tumors. We uncovered a core fetal signature, which we have called ColoStem, composed of 5 genes upregulated and 3 genes downregulated that display prognosis value in a multivariate analysis. We also define EpiColostem as a purer epithelial signature with comparable prognosis value as ColoStem. By qPCR analysis of RNA extracted from paraffin-embedded tissues, we demonstrated the actual possibility of using ColoStem and EpiColoStem to refine the prognostication of CRC patients with a simple an affordable method. Initial analysis of plasma samples indicates that both signatures could be adapted for its use in liquid biopsy. Our results reveal ColoStem and EpiColoStem tests as valuable tools for the identification of fetal-type CRC tumors thus refining patient prognosis.",Homo sapiens,Expression profiling by high throughput sequencing,18,24676,41372484,2025/11/06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE291524,https://pubmed.ncbi.nlm.nih.gov/41372484/
GSE97781,GSE,Chemotherapy recurrence colon cancer spheroid L145,Gene expression changes in colon cancer spheroids induced by chemotherapy.,Homo sapiens,Expression profiling by array,15,570,NA,2018/08/01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE97781,NA
